site_num,site_type,lat,long
1,Forest,36.61224183971036,-121.89539284999903
2,Forest,36.61685506329723,-121.89724809172132
3,Forest,36.61930698304296,-121.89961052262356
4,Forest,36.621419135462666,-121.90172805541485
5,Barren,36.6231095319774,-121.90573649403926
6,Barren,36.62381970729086,-121.90949819956485
7,Barren,36.62498239144994,-121.91227557623063
8,Barren,36.62676905587838,-121.91374241972963
9,Barren,36.62836424164832,-121.91716627517206
10,Forest,36.63065672616317,-121.91953899654449
11,Barren,36.63333863301083,-121.91998579673933
12,Barren,36.635359591070745,-121.92164852180872
13,Barren,36.63727866523848,-121.92378584527931
14,Barren,36.63866629867073,-121.92628831720951
15,Incipient,36.639785337110865,-121.92945884021108
16,Incipient,36.64105268008899,-121.93102524668008
17,Barren,36.639438737258395,-121.93359141952716
18,Barren,36.6412663258908,-121.9356293068508
19,Incipient,36.64158438331667,-121.9395081711199
20,Barren,36.57803946100092,-121.98070224426554
21,Barren,36.575948807227995,-121.97929448971118
22,Barren,36.57470848483592,-121.97628539378057
23,Incipient,36.573169259157616,-121.9780331407772
24,Barren,36.57244563765699,-121.97454459125754
25,Forest,36.56956204700579,-121.9731930744444
26,Incipient,36.56761523518674,-121.9701397219447
27,Incipient,36.56566344813415,-121.96969051639448
28,Barren,36.567017061854926,-121.96703281280513
29,Incipient,36.563886068921356,-121.96698431911791
30,Barren,36.5654933965289,-121.96424068339041
31,Barren,36.56295409650281,-121.96411570845206
32,Incipient,36.56399405307371,-121.96108092034773
33,Incipient,36.56141166586927,-121.9620104836326
34,Incipient,36.55907783874467,-121.96727074783557
35,Incipient,36.555382241512994,-121.97018368295667
36,Barren,36.561289889942074,-121.9586538267151
37,Barren,36.55980278418586,-121.95537565210456
38,Barren,36.55591207757162,-121.9581783045375
39,Forest,36.559044184359216,-121.95206791954242
40,Forest,36.56061834502204,-121.94966242731425
41,Forest,36.56290397433309,-121.9496523103367
42,Barren,36.56539210017343,-121.94927193375129
43,Incipient,36.56410660453078,-121.9471645009698
44,Incipient,36.56139644782194,-121.94699210386726
45,Forest,36.56075144411656,-121.94405419680055
46,Forest,36.563882143314636,-121.94312638405096
47,Barren,36.558466630281096,-121.9401081581143
48,Forest,36.559466885974665,-121.93673651186268
49,Forest,36.55582379732197,-121.93599025442737
50,Forest,36.55383250882189,-121.93821859127753
51,Barren,36.55220711027084,-121.93920333393922
52,Forest,36.55223195256502,-121.93619869976901
53,Forest,36.55108658074668,-121.93398165215368
54,Barren,36.54948633395995,-121.93939266759143
55,Forest,36.549660213766465,-121.93707366505785
56,Incipient,36.54908725407606,-121.93452152576252
57,Barren,36.546985992260574,-121.9390584253286
58,Barren,36.546612330417986,-121.93656258356721
59,Forest,36.547111094317195,-121.93380192443766
60,Forest,36.54454365620181,-121.9381998461206
61,Barren,36.54204858126702,-121.93697831484519
62,Incipient,36.53778758307265,-121.935852831726
63,Forest,36.537526236537936,-121.93315393386699
64,Forest,36.53519166828555,-121.93016073178214
65,Incipient,36.53198692775373,-121.92865221649394
66,Incipient,36.52663130892147,-121.92830161826092
67,Incipient,36.52558008918404,-121.93626358326208
68,Incipient,36.52264305321309,-121.93922405270061
69,Barren,36.52336584413529,-121.94317761366361
70,Incipient,36.52497896186656,-121.94646757897276
71,Forest,36.524607139044186,-121.95030507121088
72,Barren,36.52397156431245,-121.9549209305185
73,Forest,36.520777781300474,-121.95617012980328
